course_code,course_name,credit_hours,department,gen_ed_requirements,description
AAS 100,Intro Asian American Studies,3,AAS,Cultural Studies - US Minority,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics."
AAS 105,Introduction to Arab American Studies,3,AAS,Cultural Studies - US Minority,"Interdisciplinary introduction to the basic concepts and approaches in Arab American Studies. Addresses the issues of history, race, social organization, politics, literature, and art related to Arab American experiences."
AAS 120,Intro to Asian Am Pop Culture,3,AAS,Cultural Studies - US Minority,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.
AAS 199,Undergraduate Open Seminar,1 to 5,AAS,,May be repeated to a maximum of 6 hours.
AAS 200,U.S. Race and Empire,3,AAS,Humanities - Hist & Phil; Cultural Studies - US Minority,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200 ."
AAS 201,US Racial & Ethnic Politics,3,AAS,Social & Beh Sci - Soc Sci; Cultural Studies - US Minority,"Same as AFRO 201 , LLS 201 , and PS 201 . See PS 201 ."
AAS 203,"Race, Science, and Technology",3,AAS,Social & Beh Sci - Soc Sci; Cultural Studies - US Minority,"Examines the intersection of racism with science and technology in the United States. The class investigates how racism has persisted across fields of scientific knowledge production and how technology has been used to advance systems of discrimination and inequality. It studies how science has been shaped by historical and contemporary structures of racism, including slavery, settler colonialism, immigration, and policing. It also explores justice-oriented approaches to science and technology."
AAS 211,Asian Americans and the Arts,3,AAS,Humanities - Lit & Arts; Cultural Studies - US Minority,"Examination of Asian American artistic expressions in the visual and the performing arts providing historical, theoretical, and conceptual foundations of understanding the history of various art genres in Asian American communities. Prerequisite: AAS 100 or AAS 120 , or consent of instructor."
AAS 215,US Citizenship Comparatively,3,AAS,Humanities - Hist & Phil; Cultural Studies - US Minority,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215 , AIS 295 , GWS 215 , and LLS 215 ."
AAS 246,Asian American Youth in Film,3,AAS,Social & Beh Sci - Soc Sci; Cultural Studies - US Minority,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.
AAS 258,Muslims in America,3,AAS,Social & Beh Sci - Soc Sci; Cultural Studies - US Minority,"Introduction to the study of Muslims in the United States and broadly the history of Islam in the Americas. Using a comparative approach, we study how the historical narrative of African American and Latino Muslims relates to newer immigrant populations, primarily Arab American and South Asian American Muslim communities. Same as LLS 258 and REL 258 ."
AAS 260,Intro Asian American Theatre,3,AAS,Cultural Studies - US Minority,Same as THEA 260 . See THEA 260 .
AAS 275,The Politics of Fashion,3,AAS,Cultural Studies - US Minority,Same as GWS 275 . See GWS 275 .
